"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"114"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	55	64	29	11	NA	NA	NA	""
"115"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	56	64	30	10	32.7	43	0.760465116	""
"116"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	57	67	32	9	26.1	37.5	0.696	""
"117"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	62	70	33	9	29.9	45.8	0.652838428	""
"118"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	30	37	13	3	18.9	34.4	0.549418605	""
"119"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	30	36	14	4	19.2	32.5	0.590769231	""
"120"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	30	37	14	4	17.4	27.8	0.625899281	""
"121"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"2T"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	30	38	14	4	22.7	35	0.648571429	""
"122"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	30	37	12	3	NA	NA	NA	""
"123"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	32	39	15	3	NA	NA	NA	""
"124"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	32	39	18	4	NA	NA	NA	""
"125"	"co-2"	"Ler"	"Ler"	"22VarLD"	"22VarLDNV"	"7B"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	33	38	13	4	NA	NA	NA	""
"126"	"co-2"	"Ler"	"Ler"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	40	49	12	3	NA	NA	NA	""
"127"	"co-2"	"Ler"	"Ler"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	42	52	14	4	20.2	34.7	0.582132565	""
"128"	"co-2"	"Ler"	"Ler"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	44	54	27	4	27.8	39.9	0.696741855	"14 large leaves + 13 small leaves. Lots of secondary leaves"
"129"	"co-2"	"Ler"	"Ler"	"22VarSD"	"22VarSDNV"	"3B"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	44	52	14	5	NA	NA	NA	""
